Animal,Grizzly Bear,Killer Whale,Beaver,Dalmatian,Persian Cat,Horse,German Shepherd,Blue Whale,Siamese Cat,Skunk,Mole,Tiger,Hippopotamus,Leopard,Moose,Spider Monkey,Humpback Whale,Elephant,Gorilla,Ox,Fox,Sheep,Seal,Chimpanzee,Hamster,Squirrel,Rhinoceros,Rabbit,Bat,Giraffe,Wolf,Chihuahua,Rat,Weasel,Otter,Buffalo,Zebra,Giant Panda,Deer,Bobcat,Pig,Lion,Mouse,Polar Bear,Collie,Walrus,Raccoon,Cow,Dolphin
Patches,1.25,68.49,0,37.08,17.93,22.29,48.78,15.31,35.83,6.46,5.62,8.26,0,26.11,12.5,0,18.72,0,0,19.03,1.56,0,17.19,0.62,52.77,9.79,2.95,26.04,1.25,47.52,19.92,17.1,10.62,16.61,0,2.08,0,84.95,30.34,7.5,41.47,0,12.19,0,37,11.61,29.58,26.67,3.3
Pads,3.75,0,24.38,7.5,42.44,3.7,41.94,0,31.44,27.71,19.36,33.28,8.33,19.45,2.5,18.75,0,17.1,8.12,3.75,20.98,3.75,2.5,9.69,7.5,23.12,17.99,15.21,0,0.56,23.96,22.1,10.78,10.42,10.42,0,0,41.61,0,22.81,7.5,27.81,0,26.25,12.95,2.5,22.08,7.61,0
Oldworld,3.95,12.5,19.06,29.86,54.31,50.07,48.92,30.21,58.2,21.88,24.72,83.28,68.55,62.61,34.31,45.83,27.84,84.56,73.83,54.7,43.33,57.33,30.31,74.34,20.56,38.65,72.1,45.71,65.69,66.16,52.78,37.23,70.36,23.61,30.83,18.33,90.92,84.4,45.19,42.75,41.02,66.02,53.33,31.25,40.72,16.88,24.7,61.57,56.41
Ocean,0,88.28,0,0,0,0,0,74.11,0,0,0,0,0,0,0,0,89.36,0,0,0,0,0,82.53,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,35,0,74.18,0,0,77.19
Nocturnal,24.32,8.75,21.88,2.5,10.55,1.11,7.5,6.25,29.16,35.62,25.14,38.24,0,25.81,3.75,5,3.75,7.5,8.75,2.5,43.24,0,2.5,9.81,34.58,10,0,18.61,98.86,0,38.82,0,67.81,28.32,12.5,0,0,9.63,2.63,20.73,2.5,9.77,29.31,10,0,2.5,70.56,7.14,0.62
Newworld,61.54,16.25,63.44,63.47,50.66,62.29,64.49,33.96,64.25,67.85,44.68,13.12,5,24.24,82.33,21.01,35.34,4.53,12.5,50.38,61.81,57.78,32.24,52.98,53.14,67.85,2.64,62.1,65.69,11.11,59.47,63.86,72.65,36.01,54.72,55.83,5.42,29.17,62.18,51.79,53.27,10.94,58.23,44.38,55.39,38.06,60.2,61.94,57.1
Nestspot,20.14,13.41,33.44,11.25,9.17,14.62,16.53,10.83,17.22,18.19,29.79,24.34,2.31,22.08,10.14,31.67,20.34,12.29,44.17,13.12,27.88,7.5,18.18,41.93,36.6,21.56,3.75,38.89,34.91,8.69,18.4,9.8,23.12,10.14,23.19,9.38,19.09,38.19,31.55,20.28,17.88,43.12,23.26,19.38,18.57,33.77,28.26,18.89,14.05
Muscle,48.89,10.45,24.38,23.75,12.5,51.14,50.69,25.37,35.03,3.75,16.41,82.34,32.09,62.22,35.5,24.06,28.98,25.56,65.79,30.51,21.6,8.41,10.45,41.83,0,15,12.04,13.96,35.73,21.52,63.39,6.88,20.24,22.11,11.39,21.13,38.76,17.69,32.58,47.3,14.4,50.94,0.62,16.25,15.34,16.55,13.11,18.63,26.29
Mountains,43.85,0,0,0,6.25,16.22,11.25,0,5.56,5.62,0.62,14.88,0,26.03,67.19,3.75,0,0,17.14,10,13.12,49.8,0,27.35,0,10,0,4,31.25,0,23.47,1.88,7.5,9.82,0,4.63,10,18.12,25.16,50.56,6.25,21.25,4.06,1.25,12.5,0,25.86,9.17,0
Meatteeth,64.69,45.15,5,35.56,41.26,2.92,75.43,0,39.91,8.75,10,85.88,8.75,75.91,12.08,3.12,0,0,22.14,8.75,64.48,1.25,10.31,24.34,11.11,0,0,0,62.03,0,58.82,52.61,42.87,36.87,22.5,0.62,0,18.75,4.61,73.9,5.62,75.94,8.75,62.15,49.64,31.88,26.25,2.8,11.78
Longneck,0,1.25,0,0,8.75,44.94,0,0,11.11,2.78,0,8.33,0,6.81,31.52,0,0,1.25,3.75,2.5,0,0,6.25,2.5,0,3.89,6.94,2.78,5.42,96.71,8.14,7.5,0,11.25,1.25,0,21.88,2.5,34.17,0,1.25,0,0,5,1.25,4.38,0,6.35,0
Longleg,9.01,0,0,40.07,8.89,70.57,23.91,0,26.27,1.39,0,19.2,3.56,40.39,44.24,55.69,0,39.14,33.57,12.78,7.59,10.8,0,65.34,0,1.39,9.9,4.51,10.96,84.01,1.56,0,0,6.25,0,7.5,39.02,2.5,48.98,3.75,1.25,10.62,0,3.12,15.91,0,0,13.72,5.76
Lean,0,22.68,8.75,63.68,14.54,47.96,38.05,11.88,61.86,16.88,20.91,48.87,0,73.48,11.25,44.93,13.75,1.25,12.68,3.75,50.61,2.5,10.94,45.75,5.56,19.58,0,5.05,45.69,68.82,41.55,34.3,28.76,54.05,30.14,0,38.74,1.25,42.52,42.51,0,22.81,7.5,0,21.02,9.11,0,5.13,28.2
Jungle,2.5,0,0,0,6.25,3.33,0,0,2.22,0,0,75.79,28.47,68.99,3.75,61.88,0,36.33,77.01,5,5,2.5,0,91.98,0,6.25,27.78,0.25,37.52,16.92,10.76,0,1.39,1.25,0,0,10,45.65,0,17.08,2.5,63.05,0,0,0,0,0,0.59,0
Insects,0,0,0,0,5,0,0,0,3.89,6.46,31.67,1.25,0,1.25,0,12.57,0,1.25,15.36,2.5,0,0,1.25,22.28,10,3.75,9.72,0,46.43,9.49,0,1.25,25.8,3.75,4.03,0,0,6.07,0,0,4.51,0.62,8.4,0,0,2.5,12.33,2.32,0
Inactive,32.57,13.23,2.5,3.75,49.04,1.11,1.88,35.48,32.01,19.93,20.67,10.62,50.23,7.5,37.86,7.5,29.86,53.62,6.56,51.44,5.7,36.22,20.8,7.5,29.95,2.5,32.6,22.73,36.81,35.89,0,13.06,11.95,1.25,2.5,29,20,53.51,1.25,6.38,38.78,36.88,3.12,29.38,1.88,52.14,4.17,44.12,1.72
Hunter,60.83,57.87,3.75,7.5,10.98,4.09,43.77,5.94,34.6,4.17,0.62,84.93,3.75,69.02,18.06,5,15.65,3.75,19.11,0,61.52,0,27.88,7.5,0,0,0,0,43.28,0,71.47,6.58,24,41.69,32.92,6.67,4.17,3.75,5.26,81.44,1.79,76.56,2.5,56.32,22.27,20.36,10.89,0,20.01
Horns,0,0,0,0,0,0,0,0,0,0,0,0,6.25,0,93.02,0,0,1.14,0,63.7,0,6.53,0,0,0,0,71.89,0,0,29.6,5.92,0,0,0,0,49.87,0,0,70.76,0,5,0,0,0,0,0,0,30.37,0
Hops,0,0,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,0,0,1.25,8.75,10.31,23.61,23.02,0,87.59,2.5,2.02,0,8.75,8.12,7.5,0,0,4.17,1.25,10.24,3.75,0,6.25,0,3.75,0,5,1.14,0,1.29
Hooves,0,0,0,0,0,86.32,0,0,0,0,0,0,14.31,0,73.81,0,0,10.6,0,69.01,0,36.62,0,0,0,0,29.65,0,0,48.04,0,0,0,0,0,31.67,76.45,0,66.73,0,50.16,0,0,0,0,0,0,42.86,0
Hibernate,86.14,0,36.88,0,1.56,1.11,0,0,5.62,33.68,31.69,14.24,0,14.76,0,0,0,0,0,0,21.91,0,0,0,26.88,51.26,0,19.68,45.3,0,4.17,0,31.16,3.57,10.14,0,0,18.66,0,28.02,0,0,26.07,58.12,0,6.88,29.83,0,0
Hands,11.65,0,13.12,0,0,0,0,0,0,8.33,7.92,0,0,0,0,67.64,0,0,61.5,0,6.25,0,2.5,77.77,7.5,17.19,0,0,5.28,0,0,0,3.34,0,10.28,0,0,14.31,0,0,0,0,1.56,5,0,1.25,12.27,0,0
Hairless,0,70.62,1.25,25.9,0,12.59,3.75,64.47,10,0.62,14.88,2.64,63.91,10.97,10,5,65.21,68.27,0,33.3,0,3.12,44.75,0.46,0,0,54.46,0,40.61,14.05,0,16.46,15.39,1.25,7.5,6.46,7.69,0,0,0,43.7,5,11.56,0,0,45.94,0,19.46,73.27
Group,3.12,24.94,23.44,24.44,6.25,36.47,12.5,33.12,3.33,2.5,0,23.96,20.6,11.25,30.34,39.06,51.03,49.87,54.5,16.79,18.75,73.69,49.84,74.51,16.98,9.17,22.85,38.16,62.25,40.89,46.81,1.25,18.94,13.06,17.92,52.99,80.6,28.1,55.46,13.47,28.07,56.17,23.96,13.75,0.62,60.41,13.01,51.57,49.62
Ground,47.77,0,31.25,41.39,47.5,56.52,72.61,0,60.42,73.82,51.3,76.24,31.15,55.17,67.44,20.62,0,66.81,40.73,70.02,58.62,66.62,19.43,28.7,69.09,28.68,63.6,65.18,13.14,57.66,50.94,72.94,84.48,44.9,10,51.34,82.75,44.78,63.06,42.51,52.33,57.81,62.74,53.4,54.43,12.5,49.09,57.36,0
Grazer,0,0,4.69,0,6.25,72.19,0.62,0,0,0,5.62,0,18.52,9.87,77.33,21.15,0,43.83,7.5,66.23,0,68.35,0,11.94,22.71,2.5,23.06,48.98,10.62,55.84,0,3.75,0,7.5,0,54.04,78.67,41.84,69.35,0,9.42,7.5,21.25,0,0,0.25,3.41,60.89,0.75
Furry,82.37,1.25,46.25,27.15,90.19,40.58,66.05,0,72.76,80,45.81,66.23,0,43.27,36.85,64.93,0,1.14,79.21,30.02,66.35,61.16,20.45,81.98,86.82,78.78,1.14,80.89,38.75,17.17,67.2,51.16,48.79,45.41,46.94,39.24,36.4,84.15,52.33,64.71,17.05,67.03,51.94,81.94,78.21,18.99,67.37,32.05,0.62
Forest,77.4,0,19.06,0,8.98,10.76,17.89,0,4.44,47.85,43.67,21.32,8.75,18.05,58.47,33.26,0,7.58,33.19,6.25,61.82,1.25,0,63.58,2.5,66.53,0,28.32,58.01,11.11,34.25,5.08,36.71,31.66,25.83,0,8.75,48.03,69.22,30.95,2.5,22.5,32.09,0,0,0,63.95,10.21,0
Forager,25.74,10.89,10.62,0,6.25,2.34,5.62,0,19.05,33.75,39.28,4.38,6.02,30.33,46.46,35.38,11.25,8.06,34.71,10.36,32.03,2.5,7.81,33.53,27.26,77.01,9.66,34.33,24.38,12.78,22.97,3.2,52.36,28.79,1.25,23.67,32.08,40.63,23.91,36.97,31.63,30.94,15.38,34.38,6.16,8.12,53.74,5.24,8.86
Flys,0,1.25,0,0,0,0,0,0,0,0,0,0,1.25,0,0,0,0,3.75,0,16.25,0,1.25,0,0,0,13.02,0,0,95.9,4.44,0,0,0,0,0,0,0,0,0,0,0,3.75,0,0,0,0,0,0,0.82
Flippers,0,79.94,4.38,0,0,0,0,64.87,0,0,0,0,0,0,0,0,63.98,0,0,0,0,0,78.12,0,0,0,0,0,0,0,0,0,0,0,47.36,0,0,0,0,0,0,0,0,0,0,70.92,0,0,86.44
Fish,32.15,66.75,48.75,0,39.96,0,6.25,28.81,30.39,6.94,0,13.61,23.33,26.19,7.5,0.62,42.24,0,7.41,1.25,28.57,0,70,2.5,0,3.75,1.04,0,6.25,0,2.78,0,1.25,9.58,83.33,0,0,21.25,0,15.28,0,5,0,62.29,0,76.63,31.25,0,56.88
Fierce,61.8,38.27,3.75,9.38,13.98,15.51,57.44,7.5,35.98,17.29,16.88,83.81,19.17,70.3,8.75,17.71,3.75,20.63,46.23,20.16,44.9,0,13.75,23.1,8.75,7.92,42.5,4.17,32.57,1.11,75.75,33.03,59.44,59.37,6.25,26.99,0,6.25,0,71.95,25.48,70.47,1.25,70.35,5.25,20,34.46,3.34,10.73
Fields,10,0,15.62,1.25,9.77,70.14,12.5,0,10,51.46,57.67,2.5,0,15.08,46.04,3.75,0,16.1,6.25,45.51,39.69,65.17,0,0,42.91,19.9,0,58.09,16.41,36.48,16.9,11.47,55.09,45.63,0,14.55,29.09,9.03,56.72,14.38,32.03,18.75,54.52,0,17.47,0,21.23,57.48,0
Domestic,11.39,15.42,13.12,72.71,72.88,59.33,68.55,5,83.55,8.89,13.75,5.64,0,6.25,5.14,12.78,0,6.88,18.93,53.33,4.38,30.68,47.03,36.62,71.44,14.76,2.5,60.52,5.56,3.33,5,73.55,16.69,3.75,7.78,2.31,9.94,29.58,10.27,3.75,48.95,3.75,27.64,5,79.11,18.75,5,72.99,37.98
Desert,0,0,0,0,6.25,6.73,1.25,0,1.11,0,0,1.25,0,0,1.25,0,0,8.75,1.25,12.5,13.12,1.56,0,5,13.75,0,0,3.75,11.62,12.84,0,6.33,8.89,6.25,0,0,0,0,1.56,15.97,1.25,22.5,14.69,0,0,0,0,0.31,0
Coastal,2.78,30.11,33.75,1.25,1.39,2.92,2.5,5.31,7.78,0,1.39,0,3.75,0,3.75,0,27.61,0,8.75,18,7.5,5,59.15,8.75,3.75,7.5,0,11.46,9.38,0,11.67,1.51,11.67,6.39,35.97,0,0,5.14,4.85,1.39,10,3.75,0,48.96,6.25,38.78,13.12,8.76,24.07
Claws,68.87,0,30.62,4.17,55.68,0,31.83,0,59.78,17.57,28.73,75.05,0,68.8,0,0,0,0,4.55,0,32.64,0,3.75,14.44,22.53,29.19,3.75,17.59,54.12,0,25.69,29.76,36.73,39.14,28.75,0,0,38.44,0,71.75,0,57.5,20.23,59.03,16.7,5,27.28,0,0
Chewteeth,44.25,12.5,45.31,34.44,30.69,50.14,29.38,0,25.56,20,27.71,31.74,31.94,14.58,53.48,29.48,16.25,38.16,34.01,45.18,37.28,34.55,11.25,52.62,33.15,37.53,19.44,45.97,26.18,44.19,35.78,6.25,19.31,21.72,28.68,31.19,64.72,55.5,32.56,5.92,32.98,19.69,26.98,32.5,32.83,33.75,22.71,39.99,21.95
Cave,53.14,0,0,0,0,0,2.5,0,1.11,10,9.72,20.14,0,10.56,2.5,1.25,0,0,14.12,1.25,4.06,0,5,10,2.5,1.25,0,7.27,80.62,0,30.49,0,20.47,10,0,0,0,14.4,0,26.2,3.75,13.75,0,17.5,0,0,7.27,0.32,0
Bush,0,0,0,0,6.25,8.48,2.5,0,5.56,8.33,9.38,47.83,3.41,38.05,5,8.75,0,36.91,15,21.75,12.5,17.19,0,65.09,5,10,39.55,21.11,14.03,36.14,9.5,3.2,9.03,16.25,0,6.94,41.53,31.96,19.79,18.34,8.12,53.05,14.69,0,10.86,0,0,8.03,0
Bulbous,45.13,61.87,37.5,0,32.92,15.72,15.85,65.15,4.44,28.06,42.27,14.09,59.45,0,36.63,0,64.92,48.52,31.77,52.36,0,35.62,20.23,6.56,39.03,0,48.9,47.73,15.28,1.11,5.21,0.62,21.3,0,23.06,50.83,11.88,70.22,0,0,54.21,23.12,10,53.75,8.07,82.08,16.46,35.81,14.81
Buckteeth,15,5,83.12,0,0,27.6,0,0,0,18.12,27.16,21.11,0,0,17.5,0,0,11.25,11.98,20.68,6.25,15,7.5,11.84,62.08,49.44,0,60.52,8.12,18.32,0,0,56.08,6.94,28.75,17.15,14.38,38.12,9.03,0,8.44,0,44.58,6.25,8.12,28.12,15.59,14.58,2.55
Bipedal,51.21,0,12.5,10.14,7.5,0,5,0,10,5,1.39,0,0,0,0,32.81,0,0,68.8,0,0,0,1.56,66.82,2.64,36.04,1.39,3.12,23.75,0,0,3.12,2.27,3.75,1.25,0,0,48.68,0,0,1.25,2.5,2.5,25,0.62,7.19,3.41,0,7.69
Arctic,6.65,24.51,11.25,0,0,0,6.25,32.75,1.11,0,0,1.25,0,2.5,26.58,0,48.7,0,1.25,0,19.28,0,74.38,1.25,0,3.75,0,12.38,0,0,36.11,0,0,0,35.56,0,0,5,1.39,6.67,3.75,0,0,96.88,0,81.45,0,0,20.34
Agility,15.92,27.8,36.25,38.68,44.5,49,60.14,7.06,64.05,15.42,26.7,68.97,8.52,75.1,6.25,88.33,10.34,5.78,59.73,3.75,49.56,7.05,49.81,75.86,32.57,60.26,4.91,24.56,42.11,18.38,64.18,20.24,28.54,47.2,32.92,4.38,29.52,10,62,71.74,3.52,43.52,30.66,24.38,32.05,14.68,36.09,16.06,50.56
Active,29.95,27.29,67.81,37.5,13.89,55.95,58.15,7.88,37.63,22.5,48.83,59.45,6.25,71.82,18.06,74.9,12.5,6.48,49.22,17.61,54,3.75,28.98,77.8,47.28,62.01,2.64,47.86,36.24,24.22,77.68,56.13,56.88,52.09,41.11,18.94,42.51,5.5,50,61.13,15.53,33.44,44.45,36.25,54.26,8.78,70.54,20.93,53.15
