file_name,consider,euronews,gp,lack,focus,month,baby,manager,nicky,controversial,welfare,battle,2.8,chair,hate,children,replacements,tweet,finally,program,wed,include,resources,pay,risk,far,rise,choice,worst,additional,decide,fall,affect,trouble,austerity,condition,school,level,did,die,companies,democrat,disease,leader,leave,announced,small,overstretched,cap,force
Rest In Peace Toddler Alfie Evans Has Passed Away,0,0,0,0,0.142857143,0.153846154,0,0,0,0,0,0.333333333,0,0,0,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.111111111,0,0,0,0.272727273,0,0,0,0,0,0,0,0,0,0
What do the public think about the NHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133333333,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0
Doctors are attacking Jeremy Hunt as he FINALLY admits 'winter crisis' in the NHS in tweet attacking Tony Blair,0,0,0,0,0.571428571,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0.5,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0.142857143,0,0,0,0,0,0,0,0.166666667,0,0,0,0.125
Heartbreaking Update for Little Charlie Gard,0.166666667,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.142857143,0,0.083333333,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0.181818182,0,0,0,0,0,0,0,0,0,0
They are leaving at an alarming rate European NHS workers on the winter crisis austerity and Brexit's impact,0.166666667,0,0.6,0.285714286,0.142857143,0,0,0.666666667,0,0,0,0,0,0,0,0.142857143,0,0,0,0,0,0,0.4,0.2,0,0.2,0.25,0,0,0.2,0.4,0.25,0,0,0.153846154,0.111111111,0.166666667,0,0,0,0,0,0,0,0.625,0,0.333333333,0,0.2,0
Cuts to UK healthcare might spell DEATH for the vulnerable class,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0.076923077,0,0,0.142857143,0,0.272727273,0,0.0625,0.25,0,0.125,0.166666667,0,0,0,0
72500 social care cap to be scrapped MPs told,0.166666667,0,0,0,0,0.076923077,0,0,0,0.25,0,0,0,0.2,0,0,0,0,0.333333333,0,0,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,1.8,0
UK hits back after Trump claims NHS is 'going broke and not working',0,0.333333333,0,0,0,0.076923077,0,0,0,0.25,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0.066666667,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0
Trump claims UK's NHS as universal health coverage failure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0.333333333,0,0
Health department 'ignoring UK life expectancy concerns',0,0,0,0.142857143,0.142857143,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0.25,0.166666667,0,0.230769231,0,0.333333333,0,0.111111111,0,0,0,0,0,0,0,0,0,0,0
SAVED FROM SOCIALISM US Saves Baby Oliver After UK Doctors Said His Heart Couldn't Be Fixed,0,0,0,0,0,0.076923077,1.6,0,0,0,0,0,0,0,0,0.428571429,0,0,0.333333333,0,0,0,0,0.066666667,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0,0.111111111,0,0,0,0,0,0,0.166666667,0,0,0,0.125
Missed NHS targets spell trouble,0,0,0,0,0,0.076923077,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0,0,0,0.1,0,0,0.166666667,0,0,0,0,0.333333333,0,0.111111111,0,0,0.222222222,0,0,0,0,0.083333333,0,0,0,0,0,0
NHS chief hits back at Donald Trump over Twitter attacks on 'broke' NHS,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.333333333,0,0.333333333,0.416666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0.125,0,0,0,0,0
Strikes and Rationing Hobble Health Care in Great Britain,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0.266666667,0.666666667,0,0,0.25,0,0,0.2,0,0.166666667,0.333333333,0,0.111111111,0,0,0,0.090909091,0,0.0625,0,0,0.125,0.333333333,0,0,0,0
30000 excess deaths in 2015 linked to cuts in health and social care,0,0,0,0,0,0.076923077,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0.076923077,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0
Trump bungles effort to slam UK universal health care system,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.25,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0.083333333,0,0,0,0,0,0
Fear as UK Pharmacies run out of flu vaccine,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oxfordshire MP Layla Moran calls on government to tackle NHS staffing 'crisis',0,0,0,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0
NHS protest Thousands march on Downing Street to demand funding to save health service,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066666667,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'Death Panel' European Court Says Terminal Baby Must Die Despite Parents Funding Extra Care,0,0,0,0,0,0.076923077,1,0,0,0,0,0.333333333,0,0,0,0.142857143,0,0,0,0,0,0,0,0.066666667,0,0,0,0,0,0,0.2,0,0,0,0,0.111111111,0,0,0,0.454545455,0,0,0.5,0,0,0,0,0,0,0
UK Baby That Courts SENTENCED TO DEATH Gets Last-Minute LIFELINE FROM DONALD TRUMP,0,0,0,0,0.142857143,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.2,0.266666667,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0.181818182,0,0.0625,0,0,0.125,0,0,0,0,0.25
How the British health care crisis translates to America,0.166666667,0,0,0,0.142857143,0.307692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0.266666667,0,0,0,0,0,0,0,0.25,0,0.333333333,0.153846154,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0
A portfolio of problems for new UK government,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375
Fact Check Trump's Criticism of UK's National Health Service,0,0,0,0,0,0.076923077,0,0,0,0,0,0,0,0,0,0,0,0.083333333,0,0.2,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0.076923077,0.111111111,0,0,0.111111111,0,0.333333333,0.125,0.25,0.166666667,0.125,0,0,0,0,0.125
Trump thought the British were protesting their health service They weren't,0,0,0.2,0,0.142857143,0,0,0,0,0,0,0,0.25,0,0.333333333,0,0,0.333333333,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.153846154,0,0,0,0,0,0,0.0625,0,0.25,0,0,0,0,0,0
NHS cuts blamed for 30000 deaths in new study,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.142857143,0,0,0,0,0.75,0,0,0,0,0,0,0,0.076923077,0.111111111,0.333333333,0.142857143,0,0.090909091,0,0.0625,0,0.083333333,0,0,0,0.333333333,0,0
THOUSANDS MARCH FOR NHS FUNDING IN UK,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076923077,0,0,0,0,0.090909091,0,0.0625,0,0,0,0,0,0,0,0
NHS staff are being pushed to the limits Our protest is to say enough is enough,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0.076923077,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0.4,0
NHS March In London Sees Jeremy Corbyn Blame 'Tories And Austerity For Crisis',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.066666667,0,0,0,0,0.166666667,0,0,0,0,0,0.153846154,0,0,0.142857143,0,0,0,0,0,0.083333333,0,0,0,0.333333333,0,0
UK public are more dissatisfied than ever with NHS poll shows,0,0,0.2,0.142857143,0,0.076923077,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083333333,0,0,0.666666667,0,0,0
NHS protest Tens of thousands march against 'hospital cuts',0,0,0.2,0,0,0.153846154,0,0,0,0,0.25,0,0,0,0,0,0,0.166666667,0,0,0,0,0.2,0,0,0,0,0.25,0,0,0,0,0,0,0.076923077,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0
